percentage,value,gender,value_pass,value_fail
13,22,female,6,16
25,21,female,5,16
22,18,female,1,17
10,18,female,5,13
23,17,female,8,9
6,17,female,2,15
28,17,female,10,7
24,17,female,5,12
11,16,female,3,13
9,16,female,2,14
17,15,female,3,12
18,15,female,4,11
34,15,female,8,7
12,14,female,1,13
31,14,female,5,9
16,14,female,3,11
14,14,female,2,12
37,13,female,7,6
15,12,female,1,11
19,12,female,4,8
35,12,female,4,8
21,12,female,4,8
5,12,female,1,11
32,12,female,4,8
4,11,female,1,10
3,11,female,2,9
2,11,female,3,8
27,10,female,5,5
30,9,female,4,5
8,9,female,1,8
7,9,female,0,9
20,9,female,2,7
40,9,female,4,5
43,9,female,6,3
46,9,female,6,3
64,8,female,8,0
48,8,female,8,0
29,7,female,0,7
33,7,female,4,3
45,7,female,6,1
26,7,female,3,4
51,7,female,3,4
55,6,female,5,1
39,6,female,2,4
56,6,female,4,2
42,6,female,5,1
50,6,female,6,0
53,6,female,3,3
44,5,female,3,2
57,5,female,5,0
69,5,female,5,0
62,5,female,5,0
66,5,female,4,1
38,5,female,2,3
52,4,female,2,2
65,4,female,4,0
54,4,female,3,1
77,4,female,4,0
80,4,female,3,1
83,4,female,3,1
49,3,female,2,1
41,3,female,2,1
71,3,female,3,0
73,3,female,2,1
75,3,female,3,0
1,2,female,0,2
76,2,female,2,0
68,2,female,2,0
82,2,female,1,1
87,2,female,2,0
78,2,female,2,0
96,2,female,2,0
70,2,female,1,1
89,2,female,2,0
90,2,female,0,2
61,2,female,2,0
60,2,female,2,0
59,2,female,2,0
58,2,female,1,1
91,2,female,2,0
85,2,female,2,0
86,1,female,1,0
88,1,female,1,0
36,1,female,0,1
81,1,female,1,0
72,1,female,1,0
67,1,female,1,0
63,1,female,1,0
47,1,female,1,0
99,1,female,1,0
13,2,male,2,0
25,3,male,3,0
22,2,male,2,0
10,2,male,0,2
23,4,male,4,0
6,0,male,0,0
28,1,male,1,0
24,2,male,2,0
11,2,male,2,0
9,2,male,2,0
17,4,male,3,1
18,2,male,1,1
34,5,male,4,1
12,1,male,1,0
31,5,male,5,0
16,0,male,0,0
14,1,male,1,0
37,1,male,1,0
15,2,male,2,0
19,1,male,1,0
35,4,male,4,0
21,0,male,0,0
5,0,male,0,0
32,2,male,2,0
4,2,male,2,0
3,0,male,0,0
2,0,male,0,0
27,3,male,2,1
30,2,male,1,1
8,0,male,0,0
7,0,male,0,0
20,4,male,3,1
40,2,male,2,0
43,5,male,5,0
46,4,male,3,1
64,1,male,0,1
48,4,male,2,2
29,3,male,3,0
33,1,male,1,0
45,6,male,5,1
26,0,male,0,0
51,3,male,2,1
55,7,male,6,1
39,2,male,2,0
56,5,male,3,2
42,2,male,1,1
50,6,male,6,0
53,1,male,1,0
44,6,male,4,2
57,9,male,6,3
69,14,male,5,9
62,5,male,2,3
66,15,male,8,7
38,5,male,5,0
52,8,male,8,0
65,12,male,4,8
54,9,male,6,3
77,17,male,8,9
80,9,male,2,7
83,15,male,3,12
49,7,male,3,4
41,2,male,2,0
71,7,male,0,7
73,10,male,5,5
75,21,male,5,16
1,1,male,1,0
76,17,male,5,12
68,12,male,4,8
82,15,male,4,11
87,22,male,6,16
78,18,male,1,17
96,11,male,1,10
70,9,male,4,5
89,16,male,3,13
90,18,male,5,13
61,6,male,2,4
60,9,male,4,5
59,3,male,2,1
58,6,male,5,1
91,16,male,2,14
85,12,male,1,11
86,14,male,2,12
88,14,male,1,13
36,8,male,8,0
81,12,male,4,8
72,17,male,10,7
67,7,male,4,3
63,13,male,7,6
47,6,male,3,3
99,2,male,0,2
