,year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013$,domgross_2013$,intgross_2013$,period code,decade code,ROI_INT,median_rating,winners,country,language,female_words,male_words,total_words,production_company,genre
0,2013,tt1711425,21 &amp; Over,notalk,notalk,FAIL,13000000,25682380.0,42195766.0,2013FAIL,13000000,25682380.0,42195766.0,1,1,1.270260462,5.8,,USA,"English, Spanish",,,,Relativity Media,Comedy
1,2012,tt1343727,Dredd 3D,ok-disagree,ok,PASS,45000000,13414714.0,40868994.0,2012PASS,45658735,13611086.0,41467257.0,1,1,0.610095111,7.1,,"UK, South Africa, USA, India",English,1609.0,3298.0,4907.0,DNA Films,"Action, Crime, Sci-Fi"
2,2013,tt2024544,12 Years a Slave,notalk-disagree,notalk,FAIL,20000000,53107035.0,158607035.0,2013FAIL,20000000,53107035.0,158607035.0,1,1,5.275,8.1,1.0,"USA, UK",English,3452.0,16176.0,19628.0,Regency Enterprises,"Biography, Drama, History"
3,2013,tt1272878,2 Guns,notalk,notalk,FAIL,61000000,75612460.0,132493015.0,2013FAIL,61000000,75612460.0,132493015.0,1,1,0.932468115,6.7,,USA,"English, Spanish",583.0,9206.0,9789.0,Universal Pictures,"Action, Comedy, Thriller"
4,2013,tt0453562,42,men,men,FAIL,40000000,95020213.0,95020213.0,2013FAIL,40000000,95020213.0,95020213.0,1,1,0.0,7.5,,USA,English,1793.0,14725.0,16518.0,Warner Bros.,"Biography, Drama, Sport"
5,2013,tt1335975,47 Ronin,men,men,FAIL,225000000,38362475.0,145803842.0,2013FAIL,225000000,38362475.0,145803842.0,1,1,0.477517187,6.3,,"USA, UK, Japan, Hungary","English, Japanese",,,,Bluegrass Films,"Action, Drama, Fantasy"
6,2013,tt1606378,A Good Day to Die Hard,notalk,notalk,FAIL,92000000,67349198.0,304249198.0,2013FAIL,92000000,67349198.0,304249198.0,1,1,2.575,5.3,,"USA, UK, Hungary","English, Russian, Hindi, Punjabi",,,,Twentieth Century Fox,"Action, Thriller"
7,2013,tt2194499,About Time,ok-disagree,ok,PASS,12000000,15323921.0,87324746.0,2013PASS,12000000,15323921.0,87324746.0,1,1,6.00006875,7.8,,UK,English,,,,Translux,"Comedy, Drama, Fantasy"
8,2013,tt1814621,Admission,ok,ok,PASS,13000000,18007317.0,18007317.0,2013PASS,13000000,18007317.0,18007317.0,1,1,0.0,5.7,,USA,English,,,,Focus Features,"Comedy, Drama, Romance"
9,2013,tt1815862,After Earth,notalk,notalk,FAIL,130000000,60522097.0,244373198.0,2013FAIL,130000000,60522097.0,244373198.0,1,1,1.4142392380000002,4.8,,USA,English,,,,Columbia Pictures,"Action, Adventure, Sci-Fi"
10,2013,tt1800241,American Hustle,ok-disagree,ok,PASS,40000000,148430908.0,249484909.0,2013PASS,40000000,148430908.0,249484909.0,1,1,2.526350025,7.2,0.0,"USA, China","English, Arabic",2082.0,6701.0,8783.0,Columbia Pictures,"Crime, Drama"
