production_company,pass,fail,total
1492 Pictures,0,1,1
2 Loop Films,1,0,1
2.4.7. Films,1,0,1
2003 Productions,1,0,1
20th Century Fox Film Corporation,0,1,1
25th Hour Productions,0,1,1
3 Arts Entertainment,1,1,2
34th Street Films,0,1,1
40 Acres & A Mule Filmworks,1,1,2
A Bigger Boat,0,1,1
A Hot Dog,1,0,1
AR Films,1,0,1
ARP Sélection,1,0,1
Aardman Animations,1,2,3
Abandon Entertainment,1,0,1
Abraham Productions,0,1,1
Ada Films,1,0,1
Aggregate Films,0,1,1
Akil Production Company,1,0,1
Alcon Entertainment,3,4,7
Alliance,0,1,1
Alliance Atlantis Communications,0,1,1
Allied Filmmakers,0,1,1
Also Known As Pictures,0,1,1
Alter Ego Entertainment,0,1,1
Am Psycho Productions,0,1,1
Amblin Entertainment,0,1,1
Amen Ra Films,0,1,1
American Empirical Pictures,0,1,1
American Playhouse Theatrical Films,1,0,1
American Zoetrope,1,0,1
Amitabh Bachchan Corporation Limited (A.B.C.L.),0,1,1
An Olive Branch Productions,0,1,1
Andell Entertainment,0,1,1
Angry Films,0,1,1
Annapurna Pictures,0,1,1
Anonymous Content,1,0,1
Apocalypso Pictures,1,0,1
Apostle,0,1,1
Arcade Pictures,0,1,1
Archer Street Productions,1,0,1
Ariane Mararía Films,0,1,1
Armian Pictures,1,0,1
Artfire Films,1,0,1
Artic Productions LLC,1,0,1
Artisan Entertainment,1,1,2
Artists Public Domain,1,0,1
Arts Council of England,1,1,2
Asia Union Film & Entertainment Ltd.,1,0,1
Astralwerks,1,0,1
Atlas Entertainment,1,0,1
Audley Films,1,0,1
Authentic Management Productions,1,0,1
Avenue Pictures,1,0,1
Avery Pix,0,1,1
Avnet/Kerner Productions,0,1,1
Award Entertainment,1,0,1
BBC Films,3,2,5
BIM Distribuzione,1,0,1
Bad Robot,1,0,1
Bavaria Film,1,0,1
Bazmark Films,0,1,1
Be Gentlemen Limited Partnership,0,1,1
Beacon Communications,1,0,1
Before The Door Pictures,0,1,1
Beijing New Picture Film Co.,1,0,1
Belladonna Productions,2,0,2
Bellwether Pictures,0,1,1
BenderSpink,0,1,1
Bergman Lustig Productions,0,1,1
Bestboy Pictures,1,0,1
Beverly Detroit,0,1,1
Beyond Films,1,0,1
Big Beach Films,1,1,2
Bigel / Mailer Films,1,0,1
Blow Up Pictures,1,0,1
Blue Train Productions,0,1,1
Blue Yonder Films,1,0,1
Bluegrass Films,0,1,1
Blueprint Pictures,1,0,1
Bob Yari Productions,1,0,1
Boll Kino Beteiligungs GmbH & Co. KG,0,1,1
Bona Fide Productions,2,0,2
Brandywine Productions,1,0,1
Brightlight Pictures,0,1,1
British Broadcasting Corporation (BBC),1,0,1
Broadway Video,1,0,1
Brownstone Productions (II),1,0,1
Bruin Grip Services,1,0,1
Bull's Eye Entertainment,0,1,1
Bórd Scannán na hÉireann,0,1,1
C-2 Pictures,1,0,1
CBS Films,1,6,7
CJ Entertainment,1,0,1
Camelot Pictures,1,0,1
Canal+,1,1,2
Canal+ Droits Audiovisuels,1,0,1
Canal+ España,1,0,1
Capcom Entertainment,1,0,1
Capella International,0,1,1
Caravan Pictures,1,1,2
Carnaby International,1,0,1
Carolco Pictures,1,3,4
Cartoon Network Studios,1,0,1
Casey Silver Productions,0,1,1
Castelao Producciones,1,0,1
Castle Rock Entertainment,5,10,15
Casual Friday Productions,1,0,1
Cataland Films,1,0,1
Cecchi Gori Pictures,0,1,1
Celador Films,1,1,2
Central Films,0,1,1
Centropolis Film Productions,0,1,1
Centurion,0,1,1
Channel Four Films,2,2,4
Cheerleader LLC,1,0,1
Chockstone Pictures,0,1,1
Chungeorahm Film,1,0,1
Cinereach,0,1,1
Cinergi Pictures Entertainment,0,1,1
Cinetic Media,1,0,1
Cinépix Film Properties (CFP),0,1,1
Clavius Base,1,0,1
Cliffjack Motion Pictures,1,0,1
Closest to the Hole Productions,0,1,1
Cloud Atlas Productions,1,0,1
Coach Carter,1,0,1
Cohen Media Group,1,0,1
Color Force,2,0,2
Columbia Pictures,50,65,115
Columbia Pictures Film Production Asia,0,1,1
Comedy Central Films,1,0,1
Constantin Film,2,1,3
Constellation Entertainment,1,0,1
Cort/Madden Productions,1,0,1
Cottonwood Pictures,0,1,1
Crossroads Films,1,0,1
Cruise/Wagner Productions,1,0,1
Crunk Pictures,0,1,1
Curmudgeon Films,1,0,1
DENTSU Music And Entertainment,1,0,1
DJ Films,1,0,1
DNA Films,3,1,4
Daly-Harris Productions,0,1,1
Danmarks Radio (DR),0,1,1
Dark Horse Entertainment,0,1,1
Das Films,1,0,1
David Kirschner Productions,2,0,2
Davis Entertainment,0,1,1
Davis Films / Impact Pictures,1,0,1
Davis-Films,1,0,1
Deepa Mehta Films,1,0,1
Destination Films,1,0,1
Detention Films (II),1,0,1
Detour Filmproduction,1,0,1
DiNovi Pictures,1,0,1
Digital Image Associates,1,0,1
Dimension Films,16,8,24
Dino De Laurentiis Company,1,1,2
Disney Television Animation,0,1,1
Dollface,0,1,1
DreamWorks,20,23,43
DreamWorks Animation,2,15,17
EFTI,0,1,1
EM Media,0,1,1
ERBP,0,1,1
ETIC Films,0,1,1
Ealing Studios,2,0,2
Ecosse Films,0,1,1
Eden Rock Media,1,0,1
Egg Pictures,0,1,1
Egoli Tossell Film,1,0,1
Endgame Entertainment,2,1,3
Entertainment Manufacturing Company,0,1,1
Enticing Entertainment,1,0,1
Eon Productions,0,1,1
Epithète Films,0,1,1
Epsilon Motion Pictures,0,1,1
ErgoArts,1,0,1
Estudios Picasso,1,0,1
Euforia Film,0,1,1
Eulogy Productions LLC,1,0,1
EuropaCorp,2,4,6
Evenstar Films,0,1,1
Everest Entertainment,1,0,1
Everyman Pictures,0,1,1
Evolution Entertainment,0,1,1
Exclusive Media Group,0,1,1
Fabula,1,0,1
Fade to Black Productions,0,1,1
Falling Sky Entertainment,0,1,1
Fear and Loathing LLC,0,1,1
Fidélité Films,0,1,1
Fidélité Productions,1,0,1
Field Guide Films,1,0,1
Figment Films,0,1,1
FilmDistrict,2,3,5
